n	ref	sha	parent_sha	date	author	message	files	insertions	deletions	has_untracked	bundle_artifacts
0	stash@{0}	9aeeece42797ecc4912d6c7a44d5066e8e179064	a73b75767f04f2498965be18738df5815fd9c9f5	2026-04-25 18:37:28 -0600	Josh	fix(health): align decision_ledger recent_null_ratio cohort to 24h window [bd-1iyf8]	9	255	9	false	diffs/000.diff,meta/000.txt,refs/stash-backup/000
1	stash@{1}	73f6069a6f1aa84971812d800b51207ba8409369	a73b75767f04f2498965be18738df5815fd9c9f5	2026-04-25 18:34:44 -0600	Josh	fix(health): align decision_ledger recent_null_ratio cohort to 24h window [bd-1iyf8]	12	336	27	false	diffs/001.diff,meta/001.txt,refs/stash-backup/001
2	stash@{2}	b928a099117f462ea31e1efeffc6cd5de305b62c	76acca83bd0555d22b8587533c4b9a2354ab6400	2026-04-25 17:14:48 -0600	Josh	feat(scanner): bd-2phhg deadband review — KEEP 0.05, D1 regression diagnosed [bd-2phhg]	9	342	331	false	diffs/002.diff,meta/002.txt,refs/stash-backup/002
3	stash@{3}	285b6a2eb72273630dac0039016008b1fbd2985c	a22ad80e7eb79dc3de9638536e09707916c6483d	2026-04-25 16:46:54 -0600	Josh	feat(scanner): edge_refresh timeout-rate diagnostic + 5% setpoint alarm [bd-2ld4r]	14	332	10	false	diffs/003.diff,meta/003.txt,refs/stash-backup/003
4	stash@{4}	e9d7acd6393f03ed2a0da953b03750de9fc7a1e2	af42daf31c3698d5c4d9b92f3f7ed315f9b002d6	2026-04-25 14:45:07 -0600	Josh	bd-pre-existing-test-fix-WIP	1	28	22	false	diffs/004.diff,meta/004.txt,refs/stash-backup/004
5	stash@{5}	5151d56f36ab6e5a1ce0390712ced343970a44b7	06f936eefc42dd7a120ca2a86396216d23a9302a	2026-04-25 13:53:29 -0600	Josh	feat(reliability): preflight 7th gate check_reliability_north_star with fail-closed wiring [bd-1rwyt]	5	0	0	false	diffs/005.diff,meta/005.txt,refs/stash-backup/005
6	stash@{6}	893a21beab75aae7f80620b35be56649ee64e264	59d2e717231c42c78c8a5f467ba2de91386288f8	2026-04-23 17:12:49 -0600	Josh	agent-F-pre-rebase-stash	22	498	1252	false	diffs/006.diff,meta/006.txt,refs/stash-backup/006
7	stash@{7}	9970ebd8354585fdf2056156c0f78c550828eff8	b9de7087b2483f87054484257568781cac3528d2	2026-04-21 22:36:57 -0600	Josh	feat(s5): route preflight_ledger writes through DualWriter [bd-10pug]	13	163	2	true	diffs/007.diff,meta/007.txt,refs/stash-backup/007,stashed-untracked/007/
8	stash@{8}	938be188a93b2121c48fb0f6f85bad574ef75137	9ac5a3a046978ee823841725dd305b5025fe1fb4	2026-04-21 22:09:34 -0600	Josh	fix(obs): resolve socraticode collection by projectPath hash [bd-mlxst]	17	633	382	false	diffs/008.diff,meta/008.txt,refs/stash-backup/008
9	stash@{9}	8685bf2f5b653bd735329add103730a72c0494e0	9860e5cdc373e6269f1bfc9e380fc7547adc7bb2	2026-04-21 20:31:53 -0600	Josh	fix(trade-path): close 2 of 5 pre-trade blockers from 4-agent ESO review	42	478	421	false	diffs/009.diff,meta/009.txt,refs/stash-backup/009
10	stash@{10}	85edc30494d3b17a6c73daa4049950de98188e61	36ff2caeea8c833cfb4b8f3d7f81032366914340	2026-04-21 18:59:21 -0600	Josh	wave6-deferred-files	3	86	9	false	diffs/010.diff,meta/010.txt,refs/stash-backup/010
11	stash@{11}	d73281a2822d1de2a0a9195d2ace034cc1539be5	a1edc0ab18facdecab5641391f39c99f7f0fc291	2026-04-21 07:29:36 -0600	Josh	test(migration): regression test for mig-038 column mismatch [bd-mig-038-test-harness]	10	203	36	false	diffs/011.diff,meta/011.txt,refs/stash-backup/011
12	stash@{12}	ea62ba902b97bf1300fe2ff398f5286500272fe3	ae6b5a4e7a98019c82bed10cc96b6be8580cf99b	2026-04-21 07:10:32 -0600	Josh	docs(review): REVIEW 9 — probe green at 14:04Z, cred rotation is the gate [review]	11	531	362	false	diffs/012.diff,meta/012.txt,refs/stash-backup/012
13	stash@{13}	f8945cf9e3c2589893ae052c8dc2cc703202e392	cabc906313bbb7d22db19afb9e33a492857c42bd	2026-04-21 07:03:28 -0600	Josh	milestone: 4-of-4 READY:YES — mission gate UNLOCKED [milestone]	21	186	32	false	diffs/013.diff,meta/013.txt,refs/stash-backup/013
14	stash@{14}	2d2e848618e0405f981fdf350dba83b90fa88ea4	ab23b8c663854823e06574c86d801d15ab438ee1	2026-04-20 23:00:25 -0600	Josh	pane2-bd-14ufj-corrupted-schema-2026-04-21	1	8	2042	false	diffs/014.diff,meta/014.txt,refs/stash-backup/014
15	stash@{15}	9dad1bbf917b35d7457cb168fd4346edca83219d	41681ca8a49e39c9b9ed78b4f3f90fe3308dde4d	2026-04-19 20:47:02 -0600	Josh	feat(db): db_safe_ddl.sh shadow-copy DDL executor [bd-24pua]	18	307	115	false	diffs/015.diff,meta/015.txt,refs/stash-backup/015
16	stash@{16}	a50d6202d93c3639c3f5555654cebec65d918fd4	bfed634f291a233295cb1a8d412e182dfe4fd4b7	2026-04-19 13:22:42 -0600	Josh	docs: operator tools reference + L40 dispatch fallback + L41 paired-tools index	10	217	158	false	diffs/016.diff,meta/016.txt,refs/stash-backup/016
17	stash@{17}	323bd212e61efd1997f3c5d03413aea6209cdc3a	0fd48d77399f882eaed2a4b47103330b4250858f	2026-04-18 17:16:07 -0600	Josh	fix(preflight): require real L2 pnl reconciliation [MS][SF][PR] [bd-jmbel]	7	50	6	false	diffs/017.diff,meta/017.txt,refs/stash-backup/017
18	stash@{18}	70de07fe31bfff4afcea5f8a0a181e03c549f59e	60c97a335675cee37102eb159f17e63624197928	2026-04-18 16:21:25 -0600	Josh	fix(cal): preserve NULL CI as missing evidence [MS] [bd-j4dd5]	15	245	57	false	diffs/018.diff,meta/018.txt,refs/stash-backup/018
19	stash@{19}	297126f3ea5fb00a368826f8d36b3243da3619a0	d46f7348e02c8ac6c88976a6c5ea4675108c62da	2026-04-18 12:39:38 -0600	Josh	bd-n9mv7 preserved work: narrow except at Kalshi API boundary (blocked on post-ship probe red, not code)	2	156	12	true	diffs/019.diff,meta/019.txt,refs/stash-backup/019,stashed-untracked/019/
20	stash@{20}	1bf5d527f36a9db2fe1d77b8248752423f09b4cc	45eeab360b0799371a4bec7d95757050204852aa	2026-04-18 11:59:16 -0600	Josh	fix(signal): unify attribution writer path [bd-zj3wl]	16	577	57	false	diffs/020.diff,meta/020.txt,refs/stash-backup/020
21	stash@{21}	32d4a1d7f6fa9356c88b853ff08db6836ebe968f	c8f5cb8b07f6db680564a6f310aba1d3fcff5848	2026-04-17 18:18:09 -0600	Josh	test(parity): paper-live isomorphism contracts [PLD-0] [bd-vwupk]	14	19	11	false	diffs/021.diff,meta/021.txt,refs/stash-backup/021
22	stash@{22}	c62ee228846a47d60d9e9c9aedc310a890a34359	fa16756d7705073fa117b050b9f4924353f4f37d	2026-04-16 04:41:56 -0600	Josh	fix(health): coverage_log numerator market-level + wire decided counter [bd-2g0ch]	13	407	22	false	diffs/022.diff,meta/022.txt,refs/stash-backup/022
