name	has_scripts	has_validate_sh	has_audit_sh
ab-testing	0	0	0
admin-page-for-nextjs-sites	0	0	0
agent-ergonomics-and-agent-intuitiveness-maximization-for-cli-tools	1	0	0
agent-fungibility-philosophy	0	0	0
agent-mail	0	0	0
asupersync-mega-skill	1	0	0
automating-your-automations	0	0	0
bd-to-br-migration	1	0	0
beads-br	0	0	0
beads-bv	1	0	0
beads-compliance-and-completion-verification	1	0	0
beads-workflow	0	0	0
brenner	0	0	0
browser-extension-automation	0	0	0
caam	0	0	0
cass-memory	0	0	0
cass	1	1	0
cc-hooks	0	0	0
changelog-md-workmanship	1	0	0
code-review-gemini-swarm-with-ntm	0	0	0
codebase-archaeology	0	0	0
codebase-audit	0	0	0
codebase-pattern-extraction	0	0	0
codebase-report	1	0	0
csctf	0	0	0
cursor	0	0	0
dcg	1	0	0
de-slopify	0	0	0
deadlock-finder-and-fixer	1	0	0
documentation-website-for-software-project	1	0	0
dsr	0	0	0
dueling-idea-wizards	0	0	0
e2e-testing-for-webapps	1	0	0
extreme-software-optimization	0	0	0
frankensearch-integration-for-rust-projects	0	0	0
frankensuite-website-development	0	0	0
frankentui	0	0	0
ga4	0	0	0
gcloud	0	0	0
gdb-for-debugging	0	0	0
gh-actions	0	0	0
gh-cli	0	0	0
gh-og-share-images	0	0	0
gh-triage-ru	0	0	0
ghostty	0	0	0
giil	0	0	0
git-stash-janitor	1	0	0
git-worktree-branch-rationalization	1	0	0
idea-wizard	0	0	0
installer-workmanship	0	0	0
interactive-visualization-creator	0	0	0
lean-formal-feedback-loop	0	0	0
library-updater	1	0	0
mcp-server-design	0	0	0
mock-code-finder	0	0	0
modes-of-reasoning-project-analysis	0	0	0
multi-model-triangulation	1	0	0
multi-pass-bug-hunting	0	0	0
ntm	0	0	0
og-share-images	0	0	0
operationalizing-expertise	1	0	0
path-rationalization	0	0	0
pi-agent-rust	0	0	0
planning-workflow	0	0	0
profiling-software-performance	1	0	0
rch	1	0	0
readme-writing	0	0	0
reality-check-for-project	0	0	0
release-preparations	0	0	0
repeatedly-apply-skill	0	0	0
research-software	1	0	0
rg-optimized	1	0	0
ru-multi-repo-workflow	1	1	0
rust-cli-with-sqlite	0	0	0
rust-crates-publishing	0	0	0
saas-billing-patterns-for-stripe-and-paypal	1	0	0
saas-cli-auth-flow	0	0	0
saas-customer-analytics	0	0	0
security-audit-for-saas	1	0	0
seo-for-saas-businesses	1	0	0
simplify-and-refactor-code-isomorphically	1	0	0
slack-migration-to-mattermost-phase-1-extraction	1	0	0
slack-migration-to-mattermost-phase-2-setup-and-import	1	0	0
slack-migration-to-mattermost-phase-3-ongoing-maintenance	1	0	0
slb	0	0	0
ssh	0	0	0
stripe-checkout	0	0	0
supabase	0	0	0
system-performance-remediation	1	0	0
tanstack	0	0	0
tax-return-preparation-and-advice-generic	0	0	0
testing-conformance-harnesses	0	0	0
testing-fuzzing	1	0	0
testing-golden-artifacts	0	0	0
testing-metamorphic	0	0	0
testing-real-service-e2e-no-mocks	0	0	0
tui-glamorous	0	0	0
tui-inspector	0	0	0
ubs	1	0	0
ui-polish	0	0	0
user-support-ticketing-system-for-saas	1	0	0
user-support-triage-for-saas-and-open-source-projects	1	0	0
ux-audit	1	0	0
vercel	0	0	0
vibing-with-ntm	1	0	0
video-obs-youtube-music	1	0	0
wezterm	0	0	0
wills-and-estate-planning-skill	1	0	0
world-class-doctor-mode-for-cli-tools	1	0	0
wrangler	1	0	0
xf	1	1	0
